,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65
X12O.F_S66.Me,-127.79336,43.79377925,-15.3628604,44.60710034,-29.68624281,32.39519463,-49.11221088,12.42129515,-2.545512581,-11.15793753,-38.04900513,-29.43886893,91.31801507,-29.2633741,-53.98510883,-38.84738732,-124.22277,165.7536848,60.39608746,77.18940818,-94.80914065,-180.8062117,191.8904272,-50.35343885,-12.6126037,2.837293474,-62.62538446,-27.8172601,9.951880555,13.24631311,-5.031482142,-13.65753525,24.93761175,-24.23912459,-0.47873678,-3.605012322,-2.779136952,-9.338459588,4.163432587,-22.43429044,-2.612497826,6.195285346,-1.25298256,-0.840291389,-0.129312475,17.390171,0.944319713,3.446133858,9.826874961,-10.47165742,-20.13114218,-5.183756064,14.14502179,27.72115701,7.759248624,-141.1679671,107.2372143,2.256976327,0.205426221,5.595741569,-10.31170182,-4.944229906,1.43496257,-6.190501891,-6.32E-12
X14B.F_S71.Me,-55.79396956,-156.3901529,57.493895,-97.99483682,260.634577,66.79132171,-55.26820943,-122.2564006,-57.56445085,-169.2279704,1.335740446,94.80620805,181.9863573,6.813226169,12.43314193,21.04184422,-7.800597054,-44.14926391,-63.70158021,61.62981012,-8.077674984,41.64600109,6.28261496,0.43489058,29.84220428,-21.13647582,-4.229901813,-2.035973521,19.406348,-5.468698226,1.064943536,-0.234985164,10.82481126,6.472526233,-25.41489936,2.842111421,-0.510648511,-8.653685609,-10.37963159,-4.71585222,-5.730069718,-9.064909718,27.22358205,27.52832733,-4.153739314,-25.35436475,12.6976093,-183.7682369,-23.15241363,-16.49929193,-25.60188446,26.53649754,25.24820644,-1.272262085,2.909858227,-1.529832632,2.046726076,-1.410244945,2.714489296,-1.773910248,-2.902271433,1.001493052,2.334917824,-0.710742851,1.03973748454532e-12
X15G.F_S52.Me,-52.07748339,0.612896282,34.77163662,-8.159153293,12.21323258,-12.56903942,-33.72150019,52.91769513,-62.01795519,-50.44431297,-1.380492102,-23.82985797,-75.98832034,10.07379328,150.6652228,35.0334135,235.1193458,30.30003921,173.0674717,121.9029628,-53.32192524,-56.90751245,-7.256375651,128.9029268,21.18822744,-56.85943538,21.02459593,17.13124595,6.675828019,4.618302173,-21.47291757,9.040841413,8.112655513,-20.68927345,-17.82917561,-7.20296742,21.63479906,-9.382369851,-9.706375878,-27.23225965,-24.87606288,-16.52798238,59.76217217,161.9299347,72.21762037,98.46710559,-9.00650469,17.79202145,-29.80676648,-1.706748164,21.15486386,1.589360047,13.40213113,7.988600238,2.167464038,5.292011137,-0.42318039,5.536254423,-2.249862733,3.950518058,-0.331501379,4.541448116,2.615891568,2.396398839,-6.59E-13
X18W.F_S81.Me,166.8166201,4.312786935,116.0658664,58.48325288,-134.6470813,318.3232694,-31.3050809,-9.714145234,57.92868226,-62.06735138,13.72930977,16.94840764,-41.05747091,-12.23329563,-17.21835051,93.09569089,19.84738325,12.29972542,-17.1255128,16.75811718,-58.35386977,28.78331744,14.72219355,-18.00459877,-38.48496241,-16.15600404,-27.69667218,11.72497972,-20.54434983,3.083781451,16.96404373,11.51701682,-21.3054702,-2.579884988,5.107638629,13.64132489,-9.905329435,-8.748800022,-14.88431662,15.99027114,71.68683789,-260.4744553,-2.535023469,-8.208728612,-1.513928972,-1.324092717,1.274942567,-0.924002829,12.52524189,-5.90187738,-4.723601751,0.073417603,-1.935667899,-2.003714359,-3.849487254,-2.166960665,-2.776759962,-1.125611325,-0.389760359,-1.094892806,-1.411845833,0.36179527,-1.162998592,1.422681615,-5.47E-12
X20G.F_S2.Me,-129.3557838,69.73015695,-3.623086308,1.401401809,-2.381940313,28.22174963,37.15430522,25.57221313,-58.00161576,-121.6547676,1.334595624,-66.32772593,-192.2177013,125.3818442,16.9129685,-61.7408073,-107.3253418,-146.7563245,-176.1644938,74.92612749,-31.52627676,-47.5916883,17.13387236,49.52539974,-35.01989039,18.10070142,-4.213861138,-18.34899406,1.634918205,-6.076963679,-24.29505185,4.581243603,7.368220856,-12.58324033,-12.40059118,-13.60036082,11.52157037,-2.713506712,6.544834317,-12.87950245,7.545320827,-0.558237725,-2.619070378,-1.452898825,-9.552133893,2.464534275,11.85422015,0.650384668,-5.979510919,-0.668771232,2.768685543,11.04518657,-2.376537853,183.2345244,-31.69697832,41.02464615,6.430723671,-0.320341023,-5.185443225,3.053159149,2.941824936,-5.78613599,-3.470178707,-6.446400959,-3.95E-12
X21B.F_S54.Me,-136.097271,34.30626534,-123.3045669,-91.7000317,-111.3275468,44.52996737,-17.13787797,-111.6469199,-129.0226725,104.8561738,95.07408875,282.1053906,-91.36503573,-116.365641,29.66423053,62.11658787,-19.7822749,-36.34623813,5.735204315,-21.8488928,43.77720582,-11.13516952,36.04075535,-3.333628519,9.121448931,35.47030104,-2.500479377,16.41910783,15.89986301,7.41568022,2.693876858,-4.348209268,12.15655135,-10.87257435,-8.520208745,-7.71948208,6.390328833,5.886090815,-7.281676547,-3.920368585,-6.822537917,-4.772487963,12.1713699,12.9986201,1.714122701,-6.740672799,-0.677301826,1.968038313,6.671738155,0.195495161,-6.504302174,-7.254001253,-7.923852071,-2.228142668,5.249017277,5.300803076,-3.841647065,-7.170725641,19.3458652,-17.66333125,-25.09721216,-150.8441771,19.7505074,-4.829537398,1.34754840546238e-11
X28W.F_S45.Me,-16.36606034,-7.269578883,-3.736238047,-15.97877097,-41.94793188,-29.96041171,40.68468845,7.417203532,41.4429878,58.2368946,-29.08704771,2.527685195,-30.27527844,70.89620065,-20.44224662,0.631376501,48.866321,-41.44415495,-46.25809258,-22.50267122,-64.12914985,-28.29862435,28.08841593,-151.8869335,254.7346224,-134.4915531,4.238530305,-4.897830457,10.48648065,-26.99527878,36.41652805,0.137424329,2.415100875,45.80220452,-39.96687258,41.74173158,81.48359218,-41.54881104,-283.1831749,-0.166159817,2.210163988,7.339702906,-17.80347937,-7.200549299,2.36034713,3.6869777,3.896696613,-0.35297032,-0.830119401,1.244132436,4.455333211,-1.452725144,-0.74496934,2.156714868,1.333235841,0.42613317,-0.444758369,-1.857318654,-0.683067144,0.33929139,0.619126644,1.718837481,-0.567121214,-1.127544461,-1.87E-11
X29Y.F_S74.Me,-43.34462904,27.96329581,7.17860595,22.33155942,-1.698427776,-22.40729998,53.76875851,-15.65684879,-15.75932542,27.80967606,-1.67134464,-49.94251195,41.58197636,-61.52490823,17.16996917,11.11845306,55.77970561,28.68135947,-85.70451894,-186.0529536,-225.7269929,117.0092882,70.57569476,122.2017931,5.267719812,46.95583736,4.794391696,-18.41135397,16.0493877,-8.933287018,4.974416015,-3.373786086,4.719271242,11.09482821,-10.89505227,-10.07905702,10.47659559,3.623899126,-5.853440848,-11.21685791,-11.50331526,0.725138914,22.25504874,44.80846889,-11.71721927,-99.87057594,-191.1927291,10.86182371,-5.771627576,-12.58025779,1.325975282,-2.912288353,13.7710671,13.32679777,6.390711739,-0.834232379,8.957854689,-9.581081743,-4.379774998,1.509578378,1.183920628,2.388800235,-2.957616477,-1.949642843,-1.45E-12
X2B.F_S72.Me,169.9283217,77.20577456,-331.8623134,8.983562412,98.97284064,-34.62079276,-6.909359213,119.3905516,100.2021146,-146.0257204,34.34774633,74.72723702,-20.54949307,15.19619414,10.03627195,50.84989545,10.12138482,63.3455148,-21.37599038,6.844139836,-19.15848276,20.45251536,15.10638149,0.060980961,-7.012826451,5.411091412,-2.042788376,-1.704570799,-14.31875226,4.419951704,13.29848263,-2.476958653,-11.90886425,-0.822918276,5.300907384,-3.963221839,12.41898022,-7.219559355,-4.596839691,2.186944772,2.532262781,-1.955481298,-2.65378715,2.764347948,-5.70E-05,-0.438609879,-1.020870364,5.621450195,-3.111131435,-0.36294594,0.241694506,6.426362186,-7.233445025,8.35869246,3.895085542,-11.43766269,-6.151015006,0.778054818,35.20238372,-163.5011071,-25.59331931,25.64884165,-5.824065746,4.966503316,-3.73E-12
X33G.F_S23.Me,7.927877514,47.04959571,65.00119069,14.5203689,14.49956455,-11.84683033,9.203194621,37.89765891,-8.952568041,19.04835429,-7.59570055,15.08806628,-6.932937548,-43.0929786,21.21094139,39.86720085,25.06535924,-7.970573751,13.92922191,49.30456441,50.00804961,22.0500836,-87.08350907,9.374418445,22.29157214,105.845761,-146.9822753,-378.0845835,-184.3161814,4.804081898,95.04763516,-20.92762343,13.19092222,22.61231248,-39.14230489,3.368742136,-37.02988492,-8.024038925,-22.53291063,-25.73802123,-5.121073931,16.06950874,11.31726318,-0.127967606,-3.334258361,-0.64880514,0.105594838,-2.005371085,5.689321317,-0.754377597,-3.496440607,-2.031240399,-0.00239205,-5.384520295,-2.633907822,6.008036337,5.972249406,-1.997582461,1.210400994,-0.51931388,-0.38466373,-0.663007986,0.397511913,-0.757107829,-6.03E-12
