sample	meth	tissue	origin_site	transplant_site	GROUP_CODE
12O-F_S66	12O-F	Foot	lowexposed	protected	lowexposed_protected
14B-F_S71	14B-F	Foot	lowexposed	protected	lowexposed_protected
15G-F_S52	15G-F	Foot	lowexposed	exposed	lowexposed_exposed
18W-F_S81	18W-F	Foot	lowprotected	protected	lowprotected_protected
20G-F_S2	20G-F	Foot	lowexposed	protected	lowexposed_protected
21B-F_S54	21B-F	Foot	lowexposed	exposed	lowexposed_exposed
28W-F_S45	28W-F	Foot	lowprotected	protected	lowprotected_protected
29Y-F_S74	29Y-F	Foot	lowprotected	protected	lowprotected_protected
2B-F_S72	2B-F	Foot	lowexposed	protected	lowexposed_protected
33G-F_S23	33G-F	Foot	lowexposed	exposed	lowexposed_exposed
38B-F_S42	38B-F	Foot	lowexposed	exposed	lowexposed_exposed
40Y-F_S84	40Y-F	Foot	lowprotected	exposed	lowprotected_exposed
45G-F_S32	45G-F	Foot	lowexposed	exposed	lowexposed_exposed
47W-F_S82	47W-F	Foot	lowprotected	exposed	lowprotected_exposed
50G-F_S13	50G-F	Foot	lowexposed	protected	lowexposed_protected
55B-F_S4	55B-F	Foot	lowexposed	protected	lowexposed_protected
55Y-F_S61	55Y-F	Foot	lowprotected	protected	lowprotected_protected
60G-F_S65	60G-F	Foot	lowexposed	exposed	lowexposed_exposed
61W-F_S38	61W-F	Foot	lowprotected	exposed	lowprotected_exposed
62W-F_S49	62W-F	Foot	lowprotected	protected	lowprotected_protected
63G-F_S27	63G-F	Foot	lowexposed	protected	lowexposed_protected
67B-F_S20	67B-F	Foot	lowexposed	protected	lowexposed_protected
67W-F_S34	67W-F	Foot	lowprotected	exposed	lowprotected_exposed
6O-F_S6	6O-F	Foot	lowexposed	exposed	lowexposed_exposed
6W-F_S50	6W-F	Foot	lowprotected	protected	lowprotected_protected
72Y-F_S28	72Y-F	Foot	lowprotected	exposed	lowprotected_exposed
76Y-F_S46	76Y-F	Foot	lowexposed	exposed	lowexposed_exposed
81G-F_S79	81G-F	Foot	lowexposed	protected	lowexposed_protected
86G-F_S75	86G-F	Foot	lowexposed	protected	lowexposed_protected
89Y-F_S31	89Y-F	Foot	lowprotected	protected	lowprotected_protected
90W-F_S21	90W-F	Foot	lowprotected	protected	lowprotected_protected
91W-F_S30	91W-F	Foot	lowprotected	exposed	lowprotected_exposed
9W-F_S43	9W-F	Foot	lowprotected	exposed	lowprotected_exposed
12O-G_S22	12O-G	Gill	lowexposed	protected	lowexposed_protected
14B-G_S25	14B-G	Gill	lowexposed	protected	lowexposed_protected
15G-G_S24	15G-G	Gill	lowexposed	exposed	lowexposed_exposed
15W-G_S12	15W-G	Gill	lowprotected	exposed	lowprotected_exposed
18W-G_S41	18W-G	Gill	lowprotected	protected	lowprotected_protected
20G-G_S29	20G-G	Gill	lowexposed	protected	lowexposed_protected
21B-G_S7	21B-G	Gill	lowexposed	exposed	lowexposed_exposed
28W-G_S47	28W-G	Gill	lowprotected	protected	lowprotected_protected
29W-G_S76	29W-G	Gill	lowprotected	exposed	lowprotected_exposed
29Y-G_S68	29Y-G	Gill	lowprotected	protected	lowprotected_protected
2B-G_S17	2B-G	Gill	lowexposed	protected	lowexposed_protected
38B-G_S78	38B-G	Gill	lowexposed	exposed	lowexposed_exposed
40Y-G_S63	40Y-G	Gill	lowprotected	exposed	lowprotected_exposed
45G-G_S69	45G-G	Gill	lowexposed	exposed	lowexposed_exposed
47W-G_S80	47W-G	Gill	lowprotected	exposed	lowprotected_exposed
50B-G_S83	50B-G	Gill	lowexposed	exposed	lowexposed_exposed
50G-G_S33	50G-G	Gill	lowexposed	protected	lowexposed_protected
51B-G_S18	51B-G	Gill	lowexposed	protected	lowexposed_protected
55B-G_S40	55B-G	Gill	lowexposed	protected	lowexposed_protected
55Y-G_S10	55Y-G	Gill	lowprotected	protected	lowprotected_protected
56Y-G_S53	56Y-G	Gill	lowprotected	exposed	lowprotected_exposed
60G-G_S58	60G-G	Gill	lowexposed	exposed	lowexposed_exposed
61W-G_S5	61W-G	Gill	lowprotected	exposed	lowprotected_exposed
63G-G_S35	63G-G	Gill	lowexposed	protected	lowexposed_protected
67B-G_S8	67B-G	Gill	lowexposed	protected	lowexposed_protected
67W-G_S86	67W-G	Gill	lowprotected	exposed	lowprotected_exposed
6W-G_S15	6W-G	Gill	lowprotected	protected	lowprotected_protected
75Y-G_S9	75Y-G	Gill	lowprotected	protected	lowprotected_protected
76Y-G_S85	76Y-G	Gill	lowexposed	exposed	lowexposed_exposed
90W-G_S67	90W-G	Gill	lowprotected	protected	lowprotected_protected
91W-G_S1	91W-G	Gill	lowprotected	exposed	lowprotected_exposed
9W-G_S48	9W-G	Gill	lowprotected	exposed	lowprotected_exposed
