sample	meth	tissue	origin_site	transplant_site	LENGTH_INIT (mm)	OUTPLANT_SITE	LENGTH_FINAL (mm)	GROUP_CODE
14B-G_S25	14B	G	exposed	protected	13.29	protected	14.49	lowexposedprotectedGill
15G-G_S24	15G	G	exposed	exposed	9.4	exposed	10.04	lowexposedexposedGill
18W-G_S41	18W	G	protected	protected	12.23	protected	12.93	lowprotectedprotectedGill
21B-G_S7	21B	G	exposed	exposed	8.75	exposed	9.55	lowexposedexposedGill
29W-G_S76	29W	G	protected	exposed	12.02	exposed	13.77	lowprotectedexposedGill
29Y-G_S68	29Y	G	protected	protected	9.32	protected	10.01	lowprotectedprotectedGill
2B-G_S17	2B	G	exposed	protected	12.01	protected	13.53	lowexposedprotectedGill
40Y-G_S63	40Y	G	protected	exposed	7.76	exposed	9.4	lowprotectedexposedGill
45G-G_S69	45G	G	exposed	exposed	7.5	exposed	8.21	lowexposedexposedGill
47W-G_S80	47W	G	protected	exposed	8.92	exposed	9.33	lowprotectedexposedGill
50B-G_S83	50B	G	exposed	exposed	11.35	exposed	12.77	lowexposedexposedGill
51B-G_S18	51B	G	exposed	protected	10.87	protected	11.36	lowexposedprotectedGill
55B-G_S40	55B	G	exposed	protected	12.69	protected	13.73	lowexposedprotectedGill
55Y-G_S10	55Y	G	protected	protected	9.73	protected	9.94	lowprotectedprotectedGill
56Y-G_S53	56Y	G	protected	exposed	8.1	exposed	8.74	lowprotectedexposedGill
67B-G_S8	67B	G	exposed	protected	11.41	protected	11.93	lowexposedprotectedGill
67W-G_S86	67W	G	protected	exposed	13.75	exposed	15.02	lowprotectedexposedGill
75Y-G_S9	75Y	G	protected	protected	8.42	protected	9.12	lowprotectedprotectedGill
76G-G_S85	76Y	G	exposed	exposed	7.53	exposed	9.24	lowexposedexposedGill
90W-G_S67	90W	G	protected	protected	12.19	protected	12.46	lowprotectedprotectedGill
