Sample,Tissue,Origin site,Transplant site,Pre-filtered mean genome wide methylation (%),Post-filtered mean genomw wide methylation (%)
12O-F_S66,Foot,Wave-exposed,Wave-protected,11.7,8.74
15G-F_S52,Foot,Wave-exposed,Wave-exposed,9.9,8.48
29Y-F_S74,Foot,Wave-protected,Wave-protected,9.7,8.35
40Y-F_S84,Foot,Wave-protected,Wave-exposed,9.1,8.32
45G-F_S32,Foot,Wave-exposed,Wave-exposed,10.7,8.19
47W-F_S82,Foot,Wave-protected,Wave-exposed,11.8,8.49
55B-F_S4,Foot,Wave-exposed,Wave-protected,10.7,8.24
55Y-F_S61,Foot,Wave-protected,Wave-protected,8.3,8.06
6O-F_S6,Foot,Wave-exposed,Wave-exposed,12.5,8.28
60G-F_S65,Foot,Wave-exposed,Wave-exposed,9.6,8.18
61W-F_S38,Foot,Wave-protected,Wave-exposed,11.9,8.81
67B-F_S20,Foot,Wave-exposed,Wave-protected,10.3,8.44
6W-F_S50,Foot,Wave-protected,Wave-protected,9.5,8.21
72Y-F_S28,Foot,Wave-protected,Wave-exposed,10.5,8.3
76G-F_S46,Foot,Wave-exposed,Wave-exposed,8.7,8.26
81G-F_S79,Foot,Wave-exposed,Wave-protected,9.7,8.26
86G-F_S75,Foot,Wave-exposed,Wave-protected,10.3,8.42
89Y-F_S31,Foot,Wave-protected,Wave-protected,10.4,8.59
90W-F_S21,Foot,Wave-protected,Wave-protected,9.9,8.02
91W-F_S30,Foot,Wave-protected,Wave-exposed,10,8.2
14B-G_S25,Gill,Wave-exposed,Wave-protected,11.7,8.48
15G-G_S24,Gill,Wave-exposed,Wave-exposed,10.3,8.79
18W-G_S41,Gill,Wave-protected,Wave-protected,14.4,9.89
21B-G_S7,Gill,Wave-exposed,Wave-exposed,9.4,8.3
29W-G_S76,Gill,Wave-protected,Wave-exposed,11,8.49
29Y-G_S68,Gill,Wave-protected,Wave-protected,8.5,7.89
2B-G_S17,Gill,Wave-exposed,Wave-protected,10.8,8.34
40Y-G_S63,Gill,Wave-protected,Wave-exposed,7.1,7.9
45G-G_S69,Gill,Wave-exposed,Wave-exposed,11.3,8.56
47W-G_S80,Gill,Wave-protected,Wave-exposed,12.3,8.57
50B-G_S83,Gill,Wave-exposed,Wave-exposed,10.8,8.54
51B-G_S18,Gill,Wave-exposed,Wave-protected,10.9,8.59
55B-G_S40,Gill,Wave-exposed,Wave-protected,11,8.77
55Y-G_S10,Gill,Wave-protected,Wave-protected,9.1,8.31
56Y-G_S53,Gill,Wave-protected,Wave-exposed,9.6,8.49
67B-G_S8,Gill,Wave-exposed,Wave-protected,11.1,8.71
67W-G_S86,Gill,Wave-protected,Wave-exposed,10.7,8.34
75Y-G_S9,Gill,Wave-protected,Wave-protected,13.7,8.92
76G-G_S85,Gill,Wave-exposed,Wave-exposed,9.3,8.35
90W-G_S67,Gill,Wave-protected,Wave-protected,10.8,8.42
