sample,meth,tissue,origin_site,transplant_site,GROUP_CODE
12O-F_S66,12O,Foot,lowexposed,protected,lowexposed_protected
14B-F_S71,14B,Foot,lowexposed,protected,lowexposed_protected
15G-F_S52,15G,Foot,lowexposed,exposed,lowexposed_exposed
18W-F_S81,18W,Foot,lowprotected,protected,lowprotected_protected
20G-F_S2,20G,Foot,lowexposed,protected,lowexposed_protected
21B-F_S54,21B,Foot,lowexposed,exposed,lowexposed_exposed
28W-F_S45,28W,Foot,lowprotected,protected,lowprotected_protected
29Y-F_S74,29Y,Foot,lowprotected,protected,lowprotected_protected
2B-F_S72,2B,Foot,lowexposed,protected,lowexposed_protected
33G-F_S23,33G,Foot,lowexposed,exposed,lowexposed_exposed
38B-F_S42,38B,Foot,lowexposed,exposed,lowexposed_exposed
40Y-F_S84,40Y,Foot,lowprotected,exposed,lowprotected_exposed
45G-F_S32,45G,Foot,lowexposed,exposed,lowexposed_exposed
47W-F_S82,47W,Foot,lowprotected,exposed,lowprotected_exposed
50G-F_S13,50G,Foot,lowexposed,protected,lowexposed_protected
55B-F_S4,55B,Foot,lowexposed,protected,lowexposed_protected
55Y-F_S61,55Y,Foot,lowprotected,protected,lowprotected_protected
60G-F_S65,60G,Foot,lowexposed,exposed,lowexposed_exposed
61W-F_S38,61W,Foot,lowprotected,exposed,lowprotected_exposed
62W-F_S49,62W,Foot,lowprotected,protected,lowprotected_protected
63G-F_S27,63G,Foot,lowexposed,protected,lowexposed_protected
67B-F_S20,67B,Foot,lowexposed,protected,lowexposed_protected
67W-F_S34,67W,Foot,lowprotected,exposed,lowprotected_exposed
6O-F_S6,6O,Foot,lowexposed,exposed,lowexposed_exposed
6W-F_S50,6W,Foot,lowprotected,protected,lowprotected_protected
72Y-F_S28,72Y,Foot,lowprotected,exposed,lowprotected_exposed
76G-F_S46,76G,Foot,lowexposed,exposed,lowexposed_exposed
81G-F_S79,81G,Foot,lowexposed,protected,lowexposed_protected
86G-F_S75,86G,Foot,lowexposed,protected,lowexposed_protected
89Y-F_S31,89Y,Foot,lowprotected,protected,lowprotected_protected
90W-F_S21,90W,Foot,lowprotected,protected,lowprotected_protected
91W-F_S30,91W,Foot,lowprotected,exposed,lowprotected_exposed
9W-F_S43,9W,Foot,lowprotected,exposed,lowprotected_exposed
12O_S22,12O,Gill,lowexposed,protected,lowexposed_protected
14B-G_S25,14B,Gill,lowexposed,protected,lowexposed_protected
15G-G_S24,15G,Gill,lowexposed,exposed,lowexposed_exposed
15W-G_S12,15W,Gill,lowprotected,exposed,lowprotected_exposed
18W-G_S41,18W,Gill,lowprotected,protected,lowprotected_protected
20G-G_S29,20G,Gill,lowexposed,protected,lowexposed_protected
21B-G_S7,21B,Gill,lowexposed,exposed,lowexposed_exposed
28W-G_S47,28W,Gill,lowprotected,protected,lowprotected_protected
29W-G_S76,29W,Gill,lowprotected,exposed,lowprotected_exposed
29Y-G_S68,29Y,Gill,lowprotected,protected,lowprotected_protected
2B-G_S17,2B,Gill,lowexposed,protected,lowexposed_protected
38B-G_S78,38B,Gill,lowexposed,exposed,lowexposed_exposed
40Y-G_S63,40Y,Gill,lowprotected,exposed,lowprotected_exposed
45G-G_S69,45G,Gill,lowexposed,exposed,lowexposed_exposed
47W-G_S80,47W,Gill,lowprotected,exposed,lowprotected_exposed
50B-G_S83,50B,Gill,lowexposed,exposed,lowexposed_exposed
50G-G_S33,50G,Gill,lowexposed,protected,lowexposed_protected
51B-G_S18,51B,Gill,lowexposed,protected,lowexposed_protected
55B-G_S40,55B,Gill,lowexposed,protected,lowexposed_protected
55Y-G_S10,55Y,Gill,lowprotected,protected,lowprotected_protected
56Y-G_S53,56Y,Gill,lowprotected,exposed,lowprotected_exposed
60G-G_S58,60G,Gill,lowexposed,exposed,lowexposed_exposed
61W-G_S5,61W,Gill,lowprotected,exposed,lowprotected_exposed
63G-G_S35,63G,Gill,lowexposed,protected,lowexposed_protected
67B-G_S8,67B,Gill,lowexposed,protected,lowexposed_protected
67W-G_S86,67W,Gill,lowprotected,exposed,lowprotected_exposed
6W-G_S15,6W,Gill,lowprotected,protected,lowprotected_protected
75Y-G_S9,75Y,Gill,lowprotected,protected,lowprotected_protected
76G-G_S85,76G,Gill,lowexposed,exposed,lowexposed_exposed
90W-G_S67,90W,Gill,lowprotected,protected,lowprotected_protected
91W-G_S1,91W,Gill,lowprotected,exposed,lowprotected_exposed
9W-G_S48,9W,Gill,lowprotected,exposed,lowprotected_exposed
