sample	meth	tissue	origin_site	transplant_site	LENGTH_INIT (mm)	OUTPLANT_SITE	LENGTH_FINAL (mm)	GROUP_CODE
12O-F_S66	12O	Foot	exposed	protected	8.01	protected	8.77	lowexposedprotectedFoot
86G-F_S75	86G	Foot	exposed	exposed	6.69	exposed	7.37	lowexposedexposedFoot
29Y-F_S74	29Y	Foot	protected	protected	9.32	protected	10.01	lowprotectedprotectedFoot
40Y-F_S84	40Y	Foot	protected	exposed	7.76	exposed	9.4	lowprotectedexposedFoot
15G-F_S52	15G	Foot	exposed	exposed	9.4	exposed	10.04	lowexposedexposedFoot
47W-F_S82	47W	Foot	protected	exposed	8.92	exposed	9.33	lowprotectedexposedFoot
55B-F_S4	55B	Foot	exposed	protected	12.69	protected	13.73	lowexposedprotectedFoot
55Y-F_S61	55Y	Foot	protected	protected	9.73	protected	9.94	lowprotectedprotectedFoot
61W-F_S38	61W	Foot	protected	exposed	11.68	exposed	12.29	lowprotectedexposedFoot
67B-F_S20	67B	Foot	exposed	protected	11.41	protected	11.93	lowexposedprotectedFoot
45G-F_S32	45G	Foot	exposed	exposed	7.5	exposed	8.21	lowexposedexposedFoot
6W-F_S50	6W	Foot	protected	protected	10	protected	10.91	lowprotectedprotectedFoot
72Y-F_S28	72Y	Foot	protected	exposed	7.62	exposed	8.25	lowprotectedexposedFoot
60G-F_S65	60G	Foot	exposed	exposed	7.13	exposed	8.4	lowexposedexposedFoot
81G-F_S79	81G	Foot	exposed	protected	7.17	protected	7.75	lowexposedprotectedFoot
76G-F_S46	76G	Foot	exposed	exposed	7.53	exposed	9.24	lowexposedexposedFoot
89Y-F_S31	89Y	Foot	protected	protected	7.94	protected	8.98	lowprotectedprotectedFoot
90W-F_S21	90W	Foot	protected	protected	12.19	protected	12.46	lowprotectedprotectedFoot
91W-F_S30	91W	Foot	protected	exposed	8.28	exposed	9.8	lowprotectedexposedFoot
50G-F_S13	50G	Foot	exposed	protected	8.01	protected	8.68	lowexposedprotectedFoot
