Sample,Overall Alignment rate (from slurm err file),Sequence pairs analysed,Unique best hit alignments,Mapping efficiency,No alignments,Did not map uniquely,Discarded pairs,CT/GA/CT( ((converted) top strand),GA/CT/CT(complementary to (converted) top strand),GA/CT/GA(complementary to (converted) bottom strand),CT/GA/GA((converted) bottom strand),Complementary strands rejected,Total Cs analysed,Methylated Cs CpG,Methylated Cs CHG,Methylated Cs CHH,Methylated Cs Unknown,Unmethylated Cs CpG,Unmethylated Cs CHG,Unmethylated Cs CHH,Unmethylated Cs Unknown,CpG methylation,CHG methylation,CHH methylation,Unknown context methylation,
12O-F_S66,68.60%,713457,270274,37.90%,113691,329492,0,134820,0,0,135454,0,6916310,207468,17772,40835,2194,1561081,1446123,3643031,11694,11.70%,1.20%,1.10%,15.80%,
14B-F_S71,67.71%,94776,35593,37.60%,17217,41966,0,17715,0,0,17878,0,917474,22565,2467,5611,472,220436,200315,466080,1880,9.30%,1.20%,1.20%,20.10%,
15G-F_S52,68.02%,1681665,540436,32.10%,309761,831468,0,268699,0,0,271737,0,14607727,381304,30021,63098,7237,3480029,3166884,7486391,28739,9.90%,0.90%,0.80%,20.10%,
18W-F_S81,63.56%,18976,7194,37.90%,4178,7604,0,3591,0,0,3603,0,179203,5837,542,1408,102,42003,38459,90954,348,12.20%,1.40%,1.50%,22.70%,
20G-F_S2,67.47%,480956,186300,38.70%,82662,211994,0,92981,0,0,93319,0,4703998,131490,7505,14782,977,1044213,964917,2541091,7147,11.20%,0.80%,0.60%,12.00%,
21B-F_S54,67.51%,243479,96408,39.60%,44003,103068,0,48139,0,0,48269,0,2438865,77715,4934,9766,1056,582890,530963,1232597,4271,11.80%,0.90%,0.80%,19.80%,
28W-F_S45,67.71%,180039,64058,35.60%,31363,84618,0,32084,0,0,31974,0,1675258,40278,3209,6699,628,404990,362999,857083,2853,9.00%,0.90%,0.80%,18.00%,
29Y-F_S74,69.75%,524650,184643,35.20%,84141,255866,0,92260,0,0,92383,0,4950865,127556,7539,14711,2005,1182238,1072317,2546504,8582,9.70%,0.70%,0.60%,18.90%,
2B-F_S72,55.43%,429555,131700,30.70%,146833,151022,0,65536,0,0,66164,0,3390142,97722,7468,16173,2988,810246,744768,1713765,8698,10.80%,1.00%,0.90%,25.60%,
33G-F_S23,58.51%,75097,27209,36.20%,20015,27873,0,13661,0,0,13548,0,663173,20088,1727,4503,204,144221,137274,355360,1135,12.20%,1.20%,1.30%,15.20%,
