Chr,Meth.x,Locus,gene_id,feature,Description
NW_026262581.1,0,97826,LOC127716553,exon,5S ribosomal RNA
NW_026262581.1,0,97833,LOC127716553,exon,5S ribosomal RNA
NW_026262581.1,0,97837,LOC127716553,exon,5S ribosomal RNA
NW_026262581.1,0,97844,LOC127716553,exon,5S ribosomal RNA
NW_026262581.1,0,97857,LOC127716553,exon,5S ribosomal RNA
NW_026262581.1,0,97860,LOC127716553,exon,5S ribosomal RNA
NW_026262581.1,0,97866,LOC127716553,exon,5S ribosomal RNA
NW_026262581.1,0,97889,LOC127716553,exon,5S ribosomal RNA
NW_026262581.1,0,97902,LOC127716553,exon,5S ribosomal RNA
NW_026262581.1,0,371553,NA,interg,NA
NW_026262581.1,0,371583,NA,interg,NA
NW_026262581.1,0,371588,NA,interg,NA
NW_026262581.1,0,371613,NA,interg,NA
NW_026262581.1,0,371629,NA,interg,NA
NW_026262581.1,0,371663,NA,interg,NA
NW_026262581.1,0,379021,NA,interg,NA
NW_026262581.1,0,379072,NA,interg,NA
NW_026262581.1,0,379075,NA,interg,NA
NW_026262581.1,0,379078,NA,interg,NA
NW_026262581.1,0,379081,NA,interg,NA
NW_026262581.1,0,379084,NA,interg,NA
NW_026262581.1,0,441117,LOC127698167,intron,ATP-dependent DNA helicase Q1-like
NW_026262581.1,0,441184,LOC127698167,intron,ATP-dependent DNA helicase Q1-like
NW_026262581.1,0,441225,LOC127698167,intron,ATP-dependent DNA helicase Q1-like
NW_026262581.1,0,837313,NA,interg,NA
NW_026262581.1,0,837364,NA,interg,NA
NW_026262581.1,0,837375,NA,interg,NA
NW_026262581.1,0,837381,NA,interg,NA
NW_026262581.1,0,1553905,LOC127729762,exon,metabotropic glutamate receptor 4-like
NW_026262581.1,0,1553915,LOC127729762,exon,metabotropic glutamate receptor 4-like
NW_026262581.1,0,1553953,LOC127729762,exon,metabotropic glutamate receptor 4-like
NW_026262581.1,0,1553965,LOC127729762,exon,metabotropic glutamate receptor 4-like
NW_026262581.1,0,1554015,LOC127729762,exon,metabotropic glutamate receptor 4-like
NW_026262581.1,0,1554027,LOC127729762,exon,metabotropic glutamate receptor 4-like
NW_026262581.1,0,1554036,LOC127729762,exon,metabotropic glutamate receptor 4-like
NW_026262581.1,0,1554049,LOC127729762,exon,metabotropic glutamate receptor 4-like
NW_026262581.1,0,1604595,LOC127729919,intron,NEDD8-activating enzyme E1 catalytic subunit-like
NW_026262581.1,0,1604606,LOC127729919,intron,NEDD8-activating enzyme E1 catalytic subunit-like
NW_026262581.1,0,1604616,LOC127729919,intron,NEDD8-activating enzyme E1 catalytic subunit-like
NW_026262581.1,0,1604636,LOC127729919,intron,NEDD8-activating enzyme E1 catalytic subunit-like
NW_026262581.1,0,1604646,LOC127729919,intron,NEDD8-activating enzyme E1 catalytic subunit-like
NW_026262581.1,0,1604649,LOC127729919,intron,NEDD8-activating enzyme E1 catalytic subunit-like
NW_026262581.1,0,1750467,NA,interg,NA
NW_026262581.1,0,1750515,NA,interg,NA
NW_026262581.1,0,1750532,NA,interg,NA
NW_026262581.1,0,1750547,NA,interg,NA
NW_026262581.1,0,1750553,NA,interg,NA
NW_026262581.1,0,1750556,NA,interg,NA
NW_026262581.1,0,1750577,NA,interg,NA
NW_026262581.1,0,1754826,LOC127718759,intron,angiopoietin-related protein 6-like
NW_026262581.1,0,1754889,LOC127718759,intron,angiopoietin-related protein 6-like
NW_026262581.1,0,1754896,LOC127718759,intron,angiopoietin-related protein 6-like
NW_026262581.1,0,1754938,LOC127718759,intron,angiopoietin-related protein 6-like
NW_026262581.1,0,1755320,LOC127718759,intron,angiopoietin-related protein 6-like
NW_026262581.1,0,1755390,LOC127718759,intron,angiopoietin-related protein 6-like
NW_026262581.1,0,1755434,LOC127718759,intron,angiopoietin-related protein 6-like
NW_026262581.1,0,1755454,LOC127718759,intron,angiopoietin-related protein 6-like
NW_026262581.1,0,1794573,LOC127730555,intron,uncharacterized LOC127730555
NW_026262581.1,0,1794604,LOC127730555,intron,uncharacterized LOC127730555
NW_026262581.1,0,1865347,LOC127731314,intron,sulfoquinovosidase-like
NW_026262581.1,0,1865380,LOC127731314,intron,sulfoquinovosidase-like
NW_026262581.1,0,1865407,LOC127731314,intron,sulfoquinovosidase-like
NW_026262581.1,0,1865415,LOC127731314,intron,sulfoquinovosidase-like
NW_026262581.1,0,1865438,LOC127731314,intron,sulfoquinovosidase-like
NW_026262581.1,0,1865452,LOC127731314,intron,sulfoquinovosidase-like
NW_026262581.1,0,1865469,LOC127731314,intron,sulfoquinovosidase-like
NW_026262581.1,0,1906865,LOC127734437,intron,uncharacterized LOC127734437
NW_026262581.1,0,1906871,LOC127734437,intron,uncharacterized LOC127734437
NW_026262581.1,0,1906881,LOC127734437,intron,uncharacterized LOC127734437
