Chr,Locus,Meth.x,end.x,width,strand,gene_id,combined,feature,transplant_logFC,logCPM,LR,PValue,FDR,Sig,Dir,Sig_Dir,Treat,Description,start,end.y,GO_terms
NW_026262581.1,8255829,1,8255830,2,*,LOC127698951,NW_026262581.1-8255829,intron,-1.9694404138886263,2.831964811044219,16.10789987790898,5.983392313736616e-5,0.0420681883812403,TRUE,Down,TRUE_Down,Origin,protein SSUH2 homolog,8243683,8264270,NA
NW_026262581.1,8255833,1,8255834,2,*,LOC127698951,NW_026262581.1-8255833,intron,-2.105638411598717,2.831964811044219,17.57174271117439,2.766690897497294e-5,0.0268390029899497,TRUE,Down,TRUE_Down,Origin,protein SSUH2 homolog,8243683,8264270,NA
NW_026262581.1,8255837,1,8255838,2,*,LOC127698951,NW_026262581.1-8255837,intron,-2.105638411598717,2.831964811044219,17.57174271117439,2.766690897497294e-5,0.0268390029899497,TRUE,Down,TRUE_Down,Origin,protein SSUH2 homolog,8243683,8264270,NA
NW_026262581.1,8255853,1,8255854,2,*,LOC127698951,NW_026262581.1-8255853,intron,-2.0964692930162,2.8146838327172765,17.59080821852118,2.7390908626099833e-5,0.0268390029899497,TRUE,Down,TRUE_Down,Origin,protein SSUH2 homolog,8243683,8264270,NA
NW_026262581.1,8255869,1,8255870,2,*,LOC127698951,NW_026262581.1-8255869,intron,-1.9694404138886263,2.831964811044219,16.10789987790898,5.983392313736616e-5,0.0420681883812403,TRUE,Down,TRUE_Down,Origin,protein SSUH2 homolog,8243683,8264270,NA
NW_026262581.1,8255895,1,8255896,2,*,LOC127698951,NW_026262581.1-8255895,intron,-2.1152389218984746,2.8283471386417345,17.575684465183397,2.7609618229708047e-5,0.0268390029899497,TRUE,Down,TRUE_Down,Origin,protein SSUH2 homolog,8243683,8264270,NA
NW_026262581.1,8255904,1,8255905,2,*,LOC127698951,NW_026262581.1-8255904,intron,-2.252857237904125,2.8283471386417345,19.236753982449564,1.1546875782488851e-5,0.016089206772123922,TRUE,Down,TRUE_Down,Origin,protein SSUH2 homolog,8243683,8264270,NA
NW_026262581.1,17007237,1,17007238,2,*,NA,NW_026262581.1-17007237,interg,2.973792031349524,2.7703993581754225,15.685467016126834,7.4796679968381e-5,0.04737287905832104,TRUE,Up,TRUE_Up,Origin,NA,NA,NA,NA
NW_026262581.1,34455318,1,34455319,2,*,LOC127719525,NW_026262581.1-34455318,intron,-4.042981989059507,2.5049409084140635,16.236982987434686,5.589228984861725e-5,0.04079391928417744,TRUE,Down,TRUE_Down,Origin,uncharacterized LOC127719525,34334501,34459618,GO:0005515
NW_026262581.1,94873870,1,94873871,2,*,LOC127738398,NW_026262581.1-94873870,intron,2.846941579376619,2.6358631718201053,17.91296643335864,2.312402874283893e-5,0.02461295926022506,TRUE,Up,TRUE_Up,Origin,solute carrier family 26 member 6-like,94861406,94921206,GO:0008271;GO:0008272;GO:0015106;GO:0015108;GO:0016020;GO:0019531;GO:0055085
NW_026262581.1,94873901,1,94873902,2,*,LOC127738398,NW_026262581.1-94873901,intron,2.846941579376619,2.6358631718201053,17.91296643335864,2.312402874283893e-5,0.02461295926022506,TRUE,Up,TRUE_Up,Origin,solute carrier family 26 member 6-like,94861406,94921206,GO:0008271;GO:0008272;GO:0015106;GO:0015108;GO:0016020;GO:0019531;GO:0055085
NW_026262581.1,94873908,1,94873909,2,*,LOC127738398,NW_026262581.1-94873908,intron,2.7784617298473715,2.587338978114831,17.745861852140067,2.5246605849152285e-5,0.026504094326789514,TRUE,Up,TRUE_Up,Origin,solute carrier family 26 member 6-like,94861406,94921206,GO:0008271;GO:0008272;GO:0015106;GO:0015108;GO:0016020;GO:0019531;GO:0055085
NW_026262581.1,95139860,1,95139861,2,*,LOC127710919,NW_026262581.1-95139860,exon,-4.482007794585511,3.0991000566751215,15.898496132516271,6.683179996989721e-5,0.046141638040477856,TRUE,Down,TRUE_Down,Origin,uncharacterized LOC127710919,95138926,95159205,NA
NW_026262581.1,95139860,1,95139861,2,*,LOC127710800,NW_026262581.1-95139860,intron,-4.482007794585511,3.0991000566751215,15.898496132516271,6.683179996989721e-5,0.046141638040477856,TRUE,Down,TRUE_Down,Origin,uncharacterized LOC127710800,95135084,95143602,GO:0005515;GO:0007165;GO:0042981
NW_026262581.1,116929913,1,116929914,2,*,NA,NW_026262581.1-116929913,interg,3.829145784076013,3.651503574349521,22.13513323378521,2.5411624149796255e-6,0.010819140157465478,TRUE,Up,TRUE_Up,Origin,NA,NA,NA,NA
NW_026262581.1,116929964,1,116929965,2,*,NA,NW_026262581.1-116929964,interg,3.8460546591131637,3.6740981200405955,20.71600162746991,5.326898774341612e-6,0.01280863643913025,TRUE,Up,TRUE_Up,Origin,NA,NA,NA,NA
NW_026262582.1,13084455,1,13084456,2,*,LOC127717627,NW_026262582.1-13084455,intron,2.4416427413654525,3.26350217924714,16.685533262872298,4.411614085579366e-5,0.036501698090936875,TRUE,Up,TRUE_Up,Origin,uncharacterized LOC127717627,13048889,13098518,GO:0004222;GO:0006508
NW_026262582.1,13084473,1,13084474,2,*,LOC127717627,NW_026262582.1-13084473,intron,2.4416427413654525,3.26350217924714,16.685533262872298,4.411614085579366e-5,0.036501698090936875,TRUE,Up,TRUE_Up,Origin,uncharacterized LOC127717627,13048889,13098518,GO:0004222;GO:0006508
NW_026262582.1,25751550,1,25751551,2,*,LOC127717824,NW_026262582.1-25751550,intron,4.488938836138498,2.8944824820621498,16.989160877855554,3.759382309537571e-5,0.03273909348565015,TRUE,Up,TRUE_Up,Origin,prolyl 4-hydroxylase subunit alpha-1-like,25711413,25766824,GO:0004656;GO:0005506;GO:0005515;GO:0005783;GO:0018401;GO:0031418
NW_026262582.1,44952191,1,44952192,2,*,LOC127718216,NW_026262582.1-44952191,intron,-3.935541007030855,2.8876018810578445,19.53838185871969,9.859855805860577e-6,0.015267342433056946,TRUE,Down,TRUE_Down,Origin,endoplasmic reticulum resident protein 44-like,44929226,44957279,NA
NW_026262582.1,53100407,1,53100408,2,*,NA,NW_026262582.1-53100407,interg,-4.4620149853356885,2.8070137605048813,17.65793873673743,2.6440933913653976e-5,0.0268390029899497,TRUE,Down,TRUE_Down,Origin,NA,NA,NA,NA
NW_026262587.1,39274,1,39275,2,*,NA,NW_026262587.1-39274,interg,-2.354100573647007,2.852282939642747,18.358806347043377,1.829713123654546e-5,0.022616434668449963,TRUE,Down,TRUE_Down,Origin,NA,NA,NA,NA
