Chr,Locus,Meth.x,end.x,width,strand,gene_id,combined,feature,transplant_logFC,logCPM,LR,PValue,FDR,Sig,Dir,Sig_Dir,Treat,Description,start,end.y,GO_terms
NW_026262581.1,20799260,1,20799261,2,*,LOC127700820,NW_026262581.1-20799260,exon,5.1862870729240145,3.1877727200617287,18.639167556422535,1.5794210354464233e-5,0.025660907672569098,TRUE,Up,TRUE_Up,Origin,paired box protein Pax-1-like,20785834,20807708,GO:0000978;GO:0000981;GO:0006357;GO:0048856
NW_026262581.1,20799271,1,20799272,2,*,LOC127700820,NW_026262581.1-20799271,exon,5.169190530972706,3.1921711166848876,18.62941773789718,1.5875188045004213e-5,0.025660907672569098,TRUE,Up,TRUE_Up,Origin,paired box protein Pax-1-like,20785834,20807708,GO:0000978;GO:0000981;GO:0006357;GO:0048856
NW_026262581.1,20799319,1,20799320,2,*,LOC127700820,NW_026262581.1-20799319,exon,5.169190530972706,3.1921711166848876,18.62941773789718,1.5875188045004213e-5,0.025660907672569098,TRUE,Up,TRUE_Up,Origin,paired box protein Pax-1-like,20785834,20807708,GO:0000978;GO:0000981;GO:0006357;GO:0048856
NW_026262581.1,20799329,1,20799330,2,*,LOC127700820,NW_026262581.1-20799329,exon,5.169190530972706,3.1921711166848876,18.62941773789718,1.5875188045004213e-5,0.025660907672569098,TRUE,Up,TRUE_Up,Origin,paired box protein Pax-1-like,20785834,20807708,GO:0000978;GO:0000981;GO:0006357;GO:0048856
NW_026262581.1,80635877,1,80635878,2,*,LOC127724546,NW_026262581.1-80635877,intron,4.202243029385984,2.9356399226037224,16.703741117505636,4.369474754080605e-5,0.03984508961091779,TRUE,Up,TRUE_Up,Origin,uncharacterized LOC127724546,80615774,80655570,NA
NW_026262581.1,104711571,1,104711572,2,*,NA,NW_026262581.1-104711571,interg,3.6058547488476673,3.0170943191638164,17.077680025400973,3.5881538001397986e-5,0.03506174831295617,TRUE,Up,TRUE_Up,Origin,NA,NA,NA,NA
NW_026262581.1,104711576,1,104711577,2,*,NA,NW_026262581.1-104711576,interg,3.6058547488476673,3.0170943191638164,17.077680025400973,3.5881538001397986e-5,0.03506174831295617,TRUE,Up,TRUE_Up,Origin,NA,NA,NA,NA
NW_026262581.1,104711611,1,104711612,2,*,NA,NW_026262581.1-104711611,interg,4.390376507474379,3.0170943191638164,20.63790950636718,5.548647220440824e-6,0.014200062168828154,TRUE,Up,TRUE_Up,Origin,NA,NA,NA,NA
NW_026262581.1,104711613,1,104711614,2,*,NA,NW_026262581.1-104711613,interg,3.6058547488476673,3.0170943191638164,17.077680025400973,3.5881538001397986e-5,0.03506174831295617,TRUE,Up,TRUE_Up,Origin,NA,NA,NA,NA
NW_026262581.1,104711623,1,104711624,2,*,NA,NW_026262581.1-104711623,interg,3.607143522310089,3.0058059582071883,17.031736241873904,3.67602420514048e-5,0.03506174831295617,TRUE,Up,TRUE_Up,Origin,NA,NA,NA,NA
NW_026262581.1,129759254,1,129759255,2,*,LOC127713229,NW_026262581.1-129759254,intron,3.2509978647038635,2.40947645321129,16.365002807050814,5.2240980000869444e-5,0.045544375256801946,TRUE,Up,TRUE_Up,Origin,structural maintenance of chromosomes protein 6-like,129478142,129874897,GO:0000724;GO:0003684;GO:0003697;GO:0005634;GO:0016887;GO:0030915;GO:0035861
NW_026262582.1,10247132,1,10247133,2,*,NA,NW_026262582.1-10247132,interg,4.766894302880833,4.341528323086863,16.37781137005942,5.188912604967049e-5,0.045544375256801946,TRUE,Up,TRUE_Up,Origin,NA,NA,NA,NA
NW_026262582.1,33973472,1,33973473,2,*,NA,NW_026262582.1-33973472,interg,-3.609432799224264,3.5983766022998687,18.413691646989587,1.7777600162001923e-5,0.025660907672569098,TRUE,Down,TRUE_Down,Origin,NA,NA,NA,NA
NW_026262582.1,33973494,1,33973495,2,*,NA,NW_026262582.1-33973494,interg,-3.5020844905357817,3.6463895694150725,18.71547082490081,1.5174630922922079e-5,0.025660907672569098,TRUE,Down,TRUE_Down,Origin,NA,NA,NA,NA
NW_026262582.1,33973505,1,33973506,2,*,NA,NW_026262582.1-33973505,interg,-3.7301952445496465,3.667781829267928,19.39395516095987,1.0634312835172794e-5,0.020627726805384744,TRUE,Down,TRUE_Down,Origin,NA,NA,NA,NA
NW_026262582.1,51563790,1,51563791,2,*,NA,NW_026262582.1-51563790,interg,3.418508163712565,3.2606648052260185,18.45006634746543,1.7441476021643562e-5,0.025660907672569098,TRUE,Up,TRUE_Up,Origin,NA,NA,NA,NA
NW_026262582.1,58852434,1,58852435,2,*,NA,NW_026262582.1-58852434,interg,5.058654425949739,2.801737281242293,17.013068543262666,3.712342419220166e-5,0.03506174831295617,TRUE,Up,TRUE_Up,Origin,NA,NA,NA,NA
NW_026262582.1,58852506,1,58852507,2,*,NA,NW_026262582.1-58852506,interg,5.058654425949739,2.801737281242293,17.013068543262666,3.712342419220166e-5,0.03506174831295617,TRUE,Up,TRUE_Up,Origin,NA,NA,NA,NA
NW_026262582.1,58852511,1,58852512,2,*,NA,NW_026262582.1-58852511,interg,5.229677853975731,2.801737281242293,17.8001240294009,2.4536724833037545e-5,0.029948016378908208,TRUE,Up,TRUE_Up,Origin,NA,NA,NA,NA
NW_026262593.1,23241303,1,23241304,2,*,LOC127719747,NW_026262593.1-23241303,exon,-2.488268377343929,2.3614911545178954,16.091628029455766,6.0350243484752905e-5,0.04987381840482158,TRUE,Down,TRUE_Down,Origin,uncharacterized LOC127719747,23228645,23241436,NA
